variant,run,timestamp,latency_ms,status,file
vec12r3,1,20251118_161339,170383,ok,/home/helton/git/shantilly-rag/tools/report/bench_results/vec12r3_run1_20251118_161339.json
vec12r3,2,20251118_161629,198445,ok,/home/helton/git/shantilly-rag/tools/report/bench_results/vec12r3_run2_20251118_161629.json
